author,title,year,genre,country of origin,pages
H. P. Lovecraft,The Shadow out of Time,1936,short stories,USA,70
H. P. Lovecraft,At the Mountains of Madness,1936,short stories,USA,114
H. P. Lovecraft,The Colour Out of Space,1927,short stories,USA,28
H. P. Lovecraft,Herbert West—Reanimator,1922,short stories,USA,37
Wilhelm Waiblinger,"Oden und Elegien aus Rom, Neapel und Sicilien",1827,poetry,Germany,110
Hendrik Marsman,Tempel en kruis,1940,poetry,Netherlands,79
Lucius Annaeus Seneca,Naturales quaestiones,62,philosophy,Italy,226
Hartmut Bobzin,Der Koran. Eine Einführung,1999,literary studies,Germany,128
Navid Kermani,Gott ist schön. Das ästhetische Erleben des Koran,1999,literary studies,Germany,546
كامل كيلاني,بساط الريح,1959,short stories,Egypt,90
?,ספר איוב,-200,philosophy,Israel,30
SerHack,Mastering Monero,2018,science,Italy,204
John Henry Mackay,Die Anarchisten,1893,philosophy,Germany,285
فرغ غبران,مدن العلم الكبرى: برلين,1959,diary,Egypt,111
Śri Yukteśvar Giri,The Holy Science,1894,philosophy,India,109
Wilhelm Fucks,Nach allen Regeln der Kunst,1968,literary studies,Germany,143
Thorsten Streubel,Der Postmoralismus und die Frage nach dem Bösen,2023,philosophy,Germany,154
Heinz-Dieter Neef,Arbeitsbuch Hebräisch,2006,linguistics,Germany,308
Martin Krause,Hebräisch: Biblisch-Hebräische Unterrichtsgrammatik,2012,linguistics,Germany,208
?,ספר ברשית,-500,short stories,Israel,48
Hans Georg Brenner,Sonette eines Sommers,1943,poetry,Germany,47
?,Literarische Blätter VI/6,2024,short stories,Germany,24
Robert Kanigel,Hearing Homer's Song,2021,biography,USA,336
Daniela Danz/Ali Abdollahi,Kontinentaldrift: Das Persische Europa,2021,poetry,Iran,269
Sylvia Geist/Gayath Almadhoun,Kontinentaldrift: Das Arabische Europa,2023,poetry,Syria,319
Cixin Liu,The Three Body Problem,2008,science fiction,China,302
Marion Poschmann,Nimbus,2020,poetry,Germany,115
Erhard Hürsch,Das Gestirn,1947,poetry,Switzerland,79
Ludwig Wittgenstein,Philosophische Untersuchungen,1946,philosophy,Austria,299
Ludwig Christoph Heinrich Hölty,Gedichte,1776,poetry,Germany,200
Ayn Rand,Atlas Shrugged,1957,novel,USA,1088
Alfred Kelletat,Göttinger Hain,1775,poetry,Germany,456
Elise Riesel,Der Stil der deutschen Alltagsrede,1970,linguistics,Austria,366
Henrik Marsman,Tempel en Kruis,1941,poetry,Netherlands,85
Angelika Neuwirth,Der Koran als Text der Spätantike,2010,literary studies,Germany,859
Sigrid Hunke,Allahs Sonne über dem Abendland,1997,literary studies,Germany,368
Hartmut Bobzin,Der Koran: Eine Einführung,2007,literary studies,Germany,128
Johannes R. Becher,Vollendung träumend,1955,poetry,Germany,365
C. W. Ceram,"Götter, Gräber und Gelehrte. Roman der Archäologie",1949,history,Germany,494
OM Cedric Parkin,Die Geburt des Löwen. Dialoge zur Selbsterforschung,1998,philosophy,Germany,400
Stefan Weidner,Mohammedanische Versuchungen,2004,novel,Germany,240
Ursula Krechel,Lesarten,1991,literary studies,Germany,208
Maja Lucas,Jegfortællinger,2007,short stories,Denmark,117
Maja Lucas,Min far kan lide fugle,2008,short stories,Denmark,93
Eckart Peterich,Sonette einer Griechin,1941,poetry,Germany,41
Bruno Preisendörfer,Als Deutschland noch nicht Deutschland war,2015,history,Germany,544
Josef Weinheber,"Ich werde wieder sein, wenn Menschen sind",1945,poetry,Austria,352
J. R. R. Tolkien,Lord of the Rings,1955,novel,UK,1664
J. R. R. Tolkien,The Silmarillion,1977,novel,UK,443
Hermann Hesse,Das Glasperlenspiel,1943,novel,Germany,612
Klaus-Dieter Wille,Spaziergänge in Tempelhof,1985,history,Germany,142
Paul Wollschläger,Der Bezirk Tempelhof. Eine Chronik in Geschichten und Bildern,1964,history,Germany,135
T. Alan Hall,Phonologie,2000,linguistics,Germany,372
Carl Brockelmann,Semitische Sprachwissenschaft,1916,linguistics,Germany,160
Marcus Manilius,Astronomica,110,astrology,Italy,533
