author,title,year,genre,country of origin,pages
Oscar Wilde,The Importance of Being Earnest,1895,drama,Ireland,50
Oscar Wilde,Lady Windermere's Fan,1892,drama,Ireland,45
John Henry Mackay,Moderne Stoffe,1888,short stories,Germany,191
John Henry Mackay,Die Menschen der Ehe,1892,short stories,Germany,77
Jörg Klinger,Die Hethiter,2007,history,Germany,128
Richard Tarnas,Cosmos and Psyche,2006,astrology,USA,569
فرج جبران,العالم كما رأيته اليونان,1959,history,Egypt,93
Hans Hermann Hoppe,Democracy: The God that Failed,2000,politics,USA,292
Samih Al-Qasim/Adonis/Mahmud Darwish,Victims of a Map / صحايا الخريطة,1984,poetry,Palestine,165
Mahmud Darwish,Wir haben ein Land aus Worten / لنا بلد من كلام,2002,poetry,Palestine,181
Khaled al-Maaly (hrsg.),Die Flügel meines schweren Herzens. Lyrik arabischer Dichterinnen vom 5. Jahrhundert bis heute,2017,poetry,Iraq,189
Frans van Coetsem,Loan Phonology and the Two Transfer Types in Language Contact,1988,linguistics,Netherlands,207
Albert Warnecke,Der Finanzwesir 2.0,2019,finance,Germany,432
Richard Meadows,Optionality,2020,finance,New Zealand,438
Vicky Robin/Joe Dominguez,Your Money or Your Life,2017,finance,USA,283
August von Platen,Sonette und Oden,1835,poetry,Germany,90
Jacob Lund Fisker,Early Retirement Extreme,2010,finance,USA,238
Florian Wagner,Rente mit 40: Finanzielle Freiheit und Glück durch Frugalismus,2019,finance,Germany,304
