author,title,year,genre,country of origin,pages
كامل كيلاني,ليلى والذئب,1959,short stories,Egypt,19
Richard Tarnas,Passion of the Western Mind,1991,philosophy,USA,544
Michael Cook,The Koran. A Very Short Introduction,2000,literary studies,England,139
Manfred Kyber,Einführung in das Gesamtgebiet des Okkultismus,1923,philosophy,Germany,106
Annemarie Schimmel,Friedrich Rückert: Lebensbild und Einführung in sein Werk,2016,biography,Germany,99
Bassam Saeh,Miraculous Language of the Quran,2015,philosophy,Syria,106
ابو الحسن علي البندوي,قصص النبيين الأطفال,1996,philosophy,India,288
Bruno Frank,Koptisch muß sein,1923,short stories,Germany,13
كامل كيلاني,علاء الدين,1959,short stories,Egypt,72
Giorgio de Santanilla; Hertha von Dechend,Hamlet's Mill,1969,literary studies,USA,380
كامل كيلاني,السندباد البحري,1959,short stories,Egypt,78
Iulius Firmicus Maternus,Mathesis,334,astrology,Italy,314
John Henry Mackay,Max Stirner: Sein Leben und sein Werk,1898,biography,Germany,298
Herbert Fritsche,Der große Holunderbaum,1996,philosophy,Germany,111
Gibert Haefs; Fritz Arnold,Borges lesen,1991,biography,Argentina,160
Walt Whitman,Poems,1892,poetry,USA,557
Ernst Jünger,Sgraffiti,1960,philosophy,Germany,189
Raoul Schrott,Hotels,1998,poetry,Germany,111
Brigitte Hamann,Die zwölf Archetypen,2011,astrology,Germany,464
Susanna Clarke,Piranesi,2021,novel,England,272
Robert Walser,Jakob von Gunten,1909,novel,Switzerland,192
Gustav Meyrink,Das grüne Gesicht,1916,novel,Germany,224
جبران خليل جبران,النبي,1923,philosophy,Lebanon,240
Eduard Lohse,Vater Unser: Das Gebet der Christen,2012,philosophy,Germany,144
Friedrich Nietzsche,Die Unschuld des Werdens (Nachlass I),1900,philosophy,Germany,440
Friedrich Georg Jünger,Gedichte,1949,poetry,Germany,205
Louise Glück,Wild Iris,1992,poetry,USA,144
Horst Wolfram Geißler,"Astrologie: Geschichte, Entwicklung, Grundgedanken",1982,astrology,Germany,271
Denial Bahtijaragić,Die bogomilischen Gräber,2022,novel,Austria,152
William Jonas,Moallakat,600,poetry,Saudi Arabia,84
Rolf Schilling,Auf weitestem Feld,2019,philosophy,Germany,287
Wolfgang Döbereiner,Waage,1978,philosophy,Germany,107
Max Frisch,Homo faber,1952,novel,Switzerland,252
Holger Kersten,Jesus lebte in Indien,1996,philosophy,Germany,325
R. H. Markowsky,Ein gewisser Homer,1962,novel,Germany,286
Charles Fielding,Die praktische Kabbala,1994,BE 9110,202
Jan Wagner,Steine und Erden,2023,GN 9999,112
Thomas Bernhard,Holzfällen,1984,GN 3223,336
Johann Wolfgang Goethe,Reisen,1814,diary,Germany,953
Eric-Emmanuel Schmitt,Monsieur Ibrahim und die Blumen des Koran,2001,IH 91900,112
Stephan Hermlin,Gedichte und Prosa,1965,GN 5828,80
Friedrich Nietzsche,Der Wille zur Macht,1901,CG 5904,722
Ingeborg Bachmann,Malina,1971,GN 2947,362
Paramahansa Yogananda,Autobiography of a Yogi,1946,BE 1470,604
Joris K. Huysmans,Tief unten,1891,IG 6601,375
Rolf Dobelli,Die Kunst des klaren Denkens,2011,CP 4000,256
Gerald Drissner,Arabic for Nerds 1,2018,linguistics,Austria,464
B. Layton,Coptic Gnostic Chrestomathy,400,EO 2930,226
Thomas O. Lambdin,Introduction to Sahidic Coptic,1983,EO 2700,208
Rudolf Meringer,Indogermanische Sprachwissenschaft,1903,EU 700,151
Georg Steindorff,Koptische Grammatik,1904,EO 2730,350
Ernst Doblhofer,Die Entzifferung alter Schriften und Sprachen,2000,AM 14000,350
Walter Moers,Die Stadt der Träumenden Bücher,2004,GN 9999,455
,Melchior Lechter: Der Meister des Buches,1987,LI 99999,172
