author,title,year,genre,country of origin,pages
Jörg Fauser,Alles muß ganz anders werden,1979,short stories,Germany,288
Edward Slingerland,"Drunk: How We Sipped, Danced, And Stumbled Our Way To Civilization",2021,science,USA,384
Vladimir Nabokov,Pale Fire,1962,novel,USA,236
Vergilius,Eclogae,-38,poetry,Italy,44
Heraklit,Fragmente,-504,philosophy,Greece,54
Paul Rée,Psychologische Beobachtungen,1875,philosophy,Germany,160
Werner Terpitz,Schüttelreime und Echoreime des Peter Wirrnetz,1992,poetry,Germany,62
Robert Kanigel,The Man Who Knew Infinity,1991,biography,India,464
G. H. Hardy,A Mathematician's Apology,1940,philosophy,England,56
Stefan George,Der Stern des Bundes,1914,poetry,Germany,50
Elton Barker & Joel Christensen,Homer. A Beginner's Guide,2013,literary studies,Greece,248
Platon,Symposion,-385,philosophy,Greece,45
Aristophanes,Vögel,-414,drama,Greece,67
Euripides,Medea,-431,drama,Greece,45
Euripides,Bakchen,-405,drama,Greece,48
Euripides,Ἡρακλης μαινομενος,-416,drama,Greece,58
Kees Versteegh,The Arabic Language,2014,linguistics,England,332
D. Gary Miller,Greek Dialects and Early Authors,2014,linguistics,USA,356
الهادي الفراتي,البطتان والسلحفاة,1993,short stories,,8
Fritz Eckenga,Prima ist der Klimawandel – auch für den Gemüsehandel,2007,poetry,Germany,105
Rainer Maria Rilke,Briefe an einen jungen Dichter,1929,letters,Austria,30
Reinhold Koehler,Über die Dionysiaka des Nonnus von Panopolis,1853,literary studies,Germany,95
Philip Larkin,Whitsun Weddings,1964,poetry,England,64
Θεόκριτος,Εἰδύλλια,-260,poetry,Greece,147
Rainer Maria Rilke,Gedichte. Band 3,1926,poetry,Austria,702
Peter Niehenke,Astrologie. Eine Einführung,2000,astrology,Germany,276
Walther Kranz,Geschichte der griechischen Literatur,1939,literary studies,Greece,522
Walther Kranz,Die Kultur der Griechen,1943,literary studies,Greece,679
Nāgārjuna,Mūlamadhyamakakārikā,-200,philosophy,India,368
Ἀπολλώνιος,Ἀργοναυτικά,-200,epic,Greece,237
A. C. Bhaktivedanta Prabhupada,Easy Journey to Other Planets,1970,philosophy,India,85
T. S. Eliot,The Complete Poems,1965,poetry,England,304
Hartmut Bobzin,Der Koran. Eine Einführung,2007,literary studies,Germany,128
Christian Wagenknecht,Deutsche Metrik. Eine historische Einführung,2007,literary studies,Germany,172
Benno Papentrigk,Schüttelreime,1935,poetry,Germany,64
Πλούταρχος,De facie in orbe lunae,90,science,Greece,85
Ὅμηρος,Ὕμνοι,-400,poetry,Greece,176
Ernst Stadler,Der Aufbruch und andere Gedichte,1914,poetry,Gerany,88
,Tagelieder des deutschen Mittelalters,1400,poetry,Germany,308
莊子,Reden und Gleichnisse,-290,philosophy,China,244
Plinius,Von der Welt und den Elementen,79,science,Italy,160
E. M. Cioran,Die verfehlte Schöpfung,1979,philosophy,Romania,126
Kay Ehling,Paul Friedländer. Ein klassischer Philologe zwischen Wilamowitz und George,2019,literary studies,Germany,86
Irvin D. Yalom,When Nietzsche Wept,1992,novel,USA,352
Heinrich Schliemann,Auf den Spuren der Antike,1890,diary,Germany,511
H. C. Artmann,Gedichte über die Liebe und über die Lasterhaftigkeit,2000,poetry,Austria,193
Hans Bethge,Deutsche Oden,1901,poetry,Germany,74
Bob Berman,Secrets of the Night Sky,1995,science,USA,320
Calvert Watkins,How to Kill a Dragon,2001,linguistics,USA,640
Frances Altorfer,Teach Yourself Complete Arabic,2017,linguistics,England,496
Rainer Maria Rilke,Prosa 1906–1926,1926,short stories,Austria,256
Sextus Empiricus,Grundriß der pyrrhonischen Skepsis,-150,philosophy,Greece,320
