author,title,year,genre,country of origin,pages
Curtis Yarvin,Moldbug on Carlyle,2009,politics,USA,115
Curtis Yarvin,"Technology, Communism and the Brown Scare",2013,politics,USA,39
Curtis Yarvin,Patchwork: A Political System for the 21st Century,2008,politics,USA,91
Ernst Jünger,Der Waldgang,1951,philosophy,Germany,96
H. P. Lovecraft,Collected Short Stories,1937,short stories,USA,800
Andreas M. Antonopoulos,Mastering Bitcoin,2017,science,USA,405
Theodor Däubler,Das Nordlicht. Die Selbstdeutung,1919,philosophy,Austria,40
Jörg Fauser,Rohstoff,1984,novel,Germany,352
Friedrich Nietzsche,Der Fall Wagner,1888,philosophy,Germany,45
Friedrich Nietzsche,Nietzsche contra Wagner,1895,philosophy,Germany,24
Friedrich Nietzsche,Götzen-Dämmerung,1889,philosophy,Germany,105
Friedrich Nietzsche,Der Antichrist,1895,philosophy,Germany,93
Friedrich Nietzsche,Ecce Homo,1905,philosophy,Germany,117
Arthur A. MacDonell,A History of Sanskrit Literature,1900,literary studies,India,396
Ralph Waldo Emerson,Nature,1836,philosophy,USA,45
Friedrich Gundolf,Gedichte,1930,poetry,Germany,95
Paul Deussen,Die Geheimlehre des Veda,-100,philosophy,India,185
Georg Büchmann,Geflügelte Worte,1864,literary studies,Germany,327
Steven Pinker,The Blank Slate,2002,psychology,Canada,459
Peter Rohrsen,Der Tee,2013,misc,Germany,128
Albrecht Beutelspacher,Geheimsprachen,2000,mathematics,Germany,126
Sabine Doering-Manteuffel,Okkultismus,2011,philosophy,Germany,127
Nikos Dimou,"Über das Unglück, ein Grieche zu sein",2012,philosophy,Greece,72
Rainer Maria Rilke,Tagebücher aus der Frühzeit,1942,diary,Austria,439
Josef Weinheber,Adel und Untergang,1937,poetry,Germany,129
John Henry Mackay,Gedichte I,1911,poetry,Germany,261
Hans Herrmann,Das Jahr des Jüngers,2019,novel,Switzerland,254
Stefan George,Hymnen. Pilgerfahrten. Algabal,1899,poetry,Germany,123
Stefan George,Der Teppich des Lebens und die Lieder von Traum und Tod mit einem Vorspiel,1900,poetry,Germany,96
John Henry Mackay,Gedichte II,1911,poetry,Germany,236
John Henry Mackay,Sturm,1911,poetry,Germany,94
"Johanna Domokos, Michael Rießler, Christine Schlosser","Worte verschwinden / fliegen / zum blauen Licht",2019,poetry,Sweden,484
Karl Schlechta,Nietzsche-Chronik,1975,biography,Germany,134
Marcus Aurelius Antoninus,Εἰς ἑαυτόν,150,philosophy,Italy,149
Heinrich Böll,Irisches Tagebuch,1961,diary,Germany,144
Friedrich Nietzsche,Weisheit für Übermorgen: Unterstreichungen aus dem Nachlass,1889,philosophy,Germany,320
Friedrich Nietzsche,Zur Genealogie der Moral,1887,philosophy,Germany,144
Emily Dickinson,Collected Poems,1886,poetry,USA,400
Cardula Koepcke,Lou Andreas-Salomé,1986,biography,Germany,463
Uwe Tellkamp,Die Sandwirtschaft: Anmerkungen zu Schrift und Zeit,2009,literary studies,Germany,163
Jörg Fauser,Gedichte,1987,poetry,Germany,352
Helmut Hornung,Wunderbarer Sternenhimmel,2014,science,Germany,320
A. C. Bhaktivedanta Prabhupada,Bhagavad-Gita As It Is,-150,philosophy,India,904
Jan Wagner,Regentonnenvariationen,2016,poetry,Germany,112
Ragnar Helgi Ólafsson,"Denen zum Trost, die sich in ihrer Gegenwart nicht finden können",2017,poetry,Iceland,144
Justinas Marcinkevičius,Auf der Erde geht ein Vogel,1969,poetry,Lithuania,181
Birgit Kreipe,aire,2021,poetry,Germany,92
Rudolf Borchardt,Die fremde Muse,1974,poetry,Germany,94
Giosuè Carducci,Gedichte,1906,poetry,Italy,333
Laura Dürrschmidt,Es gibt keine Wale im Wilmersee,2021,novel,Germany,288
Klaus Mylius,Älteste indische Dichtung und Prosa,-100,philosophy,India,268
Melitta Gerhard,Stefan George. Dichtung und Kündung,1962,literary studies,Germany,127
Raymond Chapman,Linguistics and Literature,1973,literary studies,England,119
Ludwig Wittgenstein,Tractatus logico-philosophicus,1969,philosophy,Austria,114
Mallanāga Vātsyāyana,Kāmasūtram,400,philosophy,India,195
Rudolf Steiner,Praktische Ausbildung des Denkens,1948,philosophy,Austria,31
Ludwig Wittgenstein,Über Gewissheit,1969,philosophy,Austria,179
"Nicolaus Klein, Rüdiger Dahlke",Das senkrechte Weltbild,1998,philosophy,Germany,429
Christian Lehnert,Aufkommender Atem,2011,poetry,Germany,99
